Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
apathy,3.68,1.7,3.8,2.21,5.15,2.48
ape,5.21,1.72,4.25,2.73,5.38,2.28
apex,5.52,1.59,3.48,2.29,5.17,2.01
aphrodisiac,6.43,1.99,5.96,2.46,5.04,2.34
apocalypse,3.24,2.34,5.04,2.9,2.65,1.95
apologetic,6.65,2.35,4,2.65,5,2.06
apologize,4.94,2.13,3.52,2.23,4.22,1.96
apology,6.24,1.87,4,2.14,5.1,1.95
apostle,5.5,2.21,4.38,2.28,4.71,2.26
apothecary,5.48,1.47,4.23,2.41,5.35,2.11
appalled,3.62,1.5,4.91,2.81,4.11,2.02
appalling,2.95,1.99,5.5,2.54,4.55,2.33
apparatus,5.5,1.65,4,2.37,5.14,2.08
apparel,5.38,2.2,4.3,2.22,6.19,1.72
apparent,4.96,1.46,3.19,2.06,6.4,1.73
apparition,4.85,1.5,4.82,2.13,4.38,2.48
appeal,6.3,2.15,3.57,2.13,5.36,2.56
appear,5.25,0.64,3.24,2.21,5.36,2.41
appearance,6.14,1.9,4.57,2.45,5.9,2.59
appease,5.95,1.15,3.55,2.28,5.59,2.08
appendage,4.23,1.34,4.35,2.4,5.32,1.67
appendectomy,2.95,2.15,6.14,2.46,3.59,2.13
appendicitis,1.86,1.35,5.12,2.6,2.71,2.17
appendix,4.81,1.97,2.92,1.89,4.25,2.38
appetite,6.23,1.54,5.37,2.39,5.57,2.5
appetizer,7.29,1.76,4.52,2.37,6.36,2.22
appetizing,7,1.45,4.82,3,6.18,2.46
applaud,6.7,1.17,5.05,1.75,5.91,2.02
applause,7.12,1.35,5.38,1.83,6.56,2
apple,6.62,1.72,3.52,2.06,6.44,2.1
apple juice,7.3,1.43,3.2,2.21,6,2.44
applejack,5.79,1.96,3.8,2.31,5.74,1.76
applesauce,6.9,1.86,2.78,2,6.39,2.25
appliance,5.15,1.29,2.84,1.88,5,2.3
applicant,4.91,1.19,3.96,2.24,5.08,2.5
application,5.05,1.43,4.52,1.95,4.3,2.36
apply,5.16,1.38,3.24,1.67,6.2,1.96
appoint,5.95,1.61,4.25,2.07,5.65,2.1
appointment,4.43,1.69,4.8,2.5,6.68,2.26
appraisal,5.09,2,4.09,2.09,5.65,2.11
appreciate,7.33,1.53,3.1,2.25,7,1.46
appreciation,7.3,1.45,4.68,2.44,6.63,1.67
appreciative,7.14,1.8,4.35,2.27,6.9,2
apprehend,4.14,1.85,5.13,2.28,4.48,2.27
apprehension,4.15,1.66,4.23,2.58,5.07,2.35
apprehensive,3.32,1.49,4.77,2.64,4.64,2.74
apprentice,5.95,1.32,3.59,1.71,5.05,2.44
approach,5.45,1.15,4.48,1.91,6.03,2.08
appropriate,6.1,1.94,4.04,2.06,5,2.51
approval,6.75,1.68,3.52,2.77,6.63,2.19
approve,7,1.92,4.09,2.29,7.26,1.41
approximate,5.26,1.29,3.82,2.2,4.95,2.32
apricot,5.95,2.19,4.29,2.12,5.94,2.54
apron,5.8,1.54,2.9,1.65,5.28,1.49
apt,5.64,1.53,4.05,2.32,5.95,2.11
aptitude,5.95,1.54,4.55,2.42,5.45,2.19
aqua,6.5,1.28,3.6,2.37,4.82,2.02
aquamarine,6.4,1.9,3.9,2.85,4.95,2.65
aquarium,6.43,1.78,4.3,2.54,6.14,2.17
aquatic,6.8,1.4,3.58,2.75,4.53,2.45
arbitrary,4.15,1.81,4.55,2.76,4.77,1.86
arbitration,4.09,2,4.41,2.28,4.19,2.23
arcade,6.45,1.96,6.1,2.47,6.81,1.79
arcane,5.25,1.86,3.61,1.92,5.55,1.85
arch,5.8,1.77,3.15,1.93,5.45,1.97
archaeological,6.05,1.22,4.52,2.14,5.18,2.38
archaeologist,5.42,1.57,4.14,2.22,5.17,1.85
archaeology,6.1,1.62,3.86,2.56,5.26,2.38
archaic,4.5,1.74,4.38,2.11,4.62,2.06
archangel,7.27,1.78,4.19,2.28,4.79,2.28
archbishop,4.71,1.63,3.78,1.98,4.73,1.64
archdiocese,3.95,2.32,3.41,2.67,4.04,2.12
archduke,4.15,1.53,3.56,2.04,5.73,2.49
archery,5.25,2.05,4.39,2.57,5.73,1.88
architect,6.21,1.84,3.25,2.12,6.05,2.27
architectural,6.32,2.06,4.05,2.77,5.18,1.91
architecture,6.05,1.36,4.39,2.59,5.67,1.97
archive,4.81,1.03,4.18,2.13,5.24,2.02
arctic,4.45,2.01,3.88,2.64,5,2.24
ardent,4.95,1.56,4.62,2.34,5.32,2.12
area,5.56,1.29,2.19,1.6,5.06,1.76
arena,5.75,1.45,4.23,2.58,6.04,2.31
argue,3.15,1.53,6.67,2.61,4.77,2.49
argument,2.62,1.53,5.22,2.68,5.65,2.64
argumentative,3.2,1.79,5.61,2.13,4,2.39
arise,6.17,1.25,4.76,2.3,5.87,1.46
aristocracy,5.21,2.07,4.15,2.39,5.08,2.47
aristocrat,4.28,1.41,3.6,2.01,4.94,2.82
aristocratic,5.79,2.04,3.18,2.08,4.43,2.11
arithmetic,4.95,1.79,4,2.38,5.54,2.57
ark,6.15,1.31,3.52,2.18,5.88,2.44
arm,5.44,1.7,3.44,2.05,6.02,1.98
armada,4.6,1.76,3.29,2.24,5.6,2.4
armament,5.05,2.07,4.65,2.53,5.37,1.8
armchair,5.67,1.77,2.75,1.98,5.79,2.37
armed,4.11,1.97,6.3,1.92,5.68,2.71
armor,6.1,1.51,3.29,2.44,6.3,2.03
armored,5.67,1.59,3.52,2.14,5.7,2.3
armory,5.25,1.33,4.48,2.32,5.74,2.56
armpit,4.1,1.59,3.57,1.78,5.24,1.88
army,4.65,2.03,4.49,2.63,4.65,2.67
aroma,7.65,1.35,4.35,2.19,6.06,2.31
arouse,6.67,2.08,6.21,2.5,6.1,2.43
aroused,5.95,1.85,7.3,2.47,5.58,2.4
arraignment,3.91,1.74,4.6,1.96,5.33,2.62
arrange,5.15,0.93,3.57,2.11,6.71,1.83
arrangement,5.71,1.45,3,1.89,5.5,2.67
array,5.9,1.48,3.71,2,5.62,1.43
arrest,2.33,1.37,6.86,2.24,3.11,2.05
arrhythmia,3.86,2.32,4.95,2.46,4.25,1.68
arrival,6.67,1.28,3.6,2.42,6.53,1.87
arrive,6.41,1.84,5,2.75,6.84,1.95
arrogance,2.55,1.23,4.65,2.35,5,2.11
arrogant,2.52,1.29,5.15,2.13,4.64,2.54
arrow,5.24,1.81,3.91,2.59,5.53,2.21
arsenal,4.45,2.2,5.48,2.24,5.25,2.47
arsenic,3,1.82,4.7,1.84,3.46,1.79
arson,2.26,1.52,5.41,2.5,3.78,2.7
arsonist,2.5,1.88,6.95,2.09,3.42,2.32
art,6.85,1.89,4.48,2.48,6.02,2.14
arterial,3.95,1.66,3.39,2.41,4.12,2.23
artery,4.29,2.28,4.09,2.35,4.78,2.29
arthritis,2.32,1.06,4.27,1.88,2.63,1.71
artichoke,5.3,1.75,3.5,2.48,5.48,2.41
article,5.68,1.42,3.5,1.71,5.68,1.63
articulate,6.55,1.53,4.27,2.59,6.89,1.85
artifact,6.2,1.61,4.95,2.28,5.73,1.82
artificial,3.86,1.68,4.17,1.71,4.55,2.28
artillery,4.1,1.77,4.56,2.59,4.64,2.48
artist,6.76,2.47,4.1,2.65,6.95,2.17
artiste,6.33,1.85,3,2.23,5.35,2.03
artistic,7,1.17,5,2.74,6.86,2.15
artistry,6.91,1.77,4.71,2.57,7.43,1.75
artwork,6.76,1.55,4.18,2.91,6.33,1.65
arty,6.55,2.11,5.53,2.55,5.48,2.32
asbestos,2.24,1.34,4.38,2.53,3.05,2.3
ascend,6.19,1.5,4.13,2.53,5.58,2.06
ascendant,5.29,1.59,3.23,2,5.78,1.9
ascending,5.14,1.73,3.73,2.23,5.55,2.21
ascension,5.77,1.57,5.36,2.26,5.45,2.01
ascertain,5.3,1.49,3.17,1.99,6.29,1.65
ashamed,2.52,2.23,5.65,2.39,4.63,2.69
ashtray,3.52,1.66,3.48,2.27,5.56,2.38
asinine,5.05,2.25,4.63,2.48,4.81,2.34
ask,5.95,1.4,3.48,2.16,6.29,1.83
asleep,6.5,1.89,2,2.43,4.33,2.7
asparagus,5.43,2.27,2.73,1.98,5.67,1.78
aspect,4.89,1.15,3.39,2.06,4.76,2.46
aspen,6.57,1.66,4.11,2.35,5.5,1.95
asphalt,4.46,1.67,3.2,1.88,4.62,2.33
asphyxia,2.19,1.47,6.14,2.37,2.4,1.47
asphyxiation,1.53,0.84,6.91,1.9,2.54,2
aspiration,6.26,2.26,5,2.41,5.94,2.2
aspire,6.43,1.78,3.68,2.51,6.85,1.81
aspirin,5.3,1.34,3.35,2.13,5.12,2.4
aspiring,6.89,1.79,4.41,2.89,6.85,1.7
ass,5.45,2.26,5.43,2.29,3.61,2.3
assailant,3.24,1.48,5.7,2.46,3,2.21
assassin,2.11,1.32,5.82,2.87,3.36,2.61
assassinate,3.27,2.1,6.38,2.33,3.23,2.25
assassination,1.83,0.86,6.2,2.75,4,2.75
assault,2.05,1.45,6.8,2.11,3.49,2.71
assemble,5.14,1.82,3.52,2.39,6.28,2.32
assembly,5.47,1.43,3.95,2.72,4.82,1.79
assemblyman,5,1.55,3.12,2.33,5.21,2.02
assert,5.68,1.49,4.64,2.13,5.93,2.28
assertive,5.37,1.83,5.55,2.39,6.04,2.58
assess,5.84,1.86,3.45,2.2,5.21,1.91
assessment,5.22,1.9,2.75,1.83,5.44,2.22
asset,7.25,1.21,4.43,2.84,6,2.29
asshole,2.11,1.88,6.38,2.77,2.89,1.91
assign,4.75,1.62,3.71,1.49,5.74,2.43
assignment,5.39,1.56,4.45,2.42,6,2.49
assimilate,4.63,1.86,4.15,1.95,5.15,2.46
assist,5.95,1.53,3.76,2.26,6.41,2.17
assistance,5.82,1.79,3.82,2.22,6.45,2.42
assistant,5.91,1.44,4.8,2.67,6.37,2.06
associate,5.2,1.74,3.11,1.94,4.88,2.15
association,5.5,1.91,3.67,1.5,6.14,1.78
assorted,5.82,1.14,3.52,2.16,5.41,2.13
assortment,5.64,1.14,3.88,2.2,5.79,2.34
assume,4.41,1.84,4.2,2.4,6.21,2.62
assumption,4.3,1.22,4.14,2.06,5.03,2.46
assurance,5.95,2.12,2.81,2.25,6.07,2.16
assure,6.33,1.68,3.1,2.14,6.52,1.81
asterisk,5.38,1.66,2.78,2.04,5.72,2.95
asteroid,4.95,2.15,5.6,2.33,3.68,2.5
asthma,2.45,1.3,4.5,2.45,3.54,2.15
asthmatic,3.33,1.62,3.38,2.79,3.84,2.03
astonish,5.55,1.71,5.38,1.98,6,1.91
astonished,6.42,1.47,5.73,2.27,4.87,2.04
astonishing,6.53,1.87,5.77,2.16,5.23,2.27
astound,6.3,1.63,5.05,2.4,5.56,2.2
astral,5.32,1.73,5.13,2.63,5.26,1.63
astrology,4.79,2.68,4.18,2.48,4.67,2.16
astronaut,6.73,1.84,4.4,2.09,5.32,2.48
astronomer,5.59,1.59,5.42,2.27,5.33,2.27
astronomical,6.37,1.74,5,2.14,5.14,2.46
astronomy,6,1.81,4.33,2.82,5.21,2.41
astute,6.22,1.35,3.16,2.24,6,1.94
asylum,3.24,2.34,5.55,2.28,3.52,2.42
atheist,4.64,2.5,4.76,2.84,5.41,2.5
athlete,6.21,2.04,4.75,2.75,5.96,1.63
athletic,6.76,1.73,5,2.45,6.11,2.14
athletics,6.14,2.03,4.93,2.76,6.15,2.2
atlas,5.95,1.28,2.5,1.74,5.7,2.11
atmosphere,6.05,1.5,4,2.28,4.86,2.47
atmospheric,5.72,1.36,4.09,2.21,5.11,2.31
atoll,5.14,1.49,3.55,1.82,4.7,1.63
atom,5.74,1.1,4.29,2.37,5.39,2.46
atomic,4.26,2.13,5.85,2.54,3.96,2.46
atone,5.6,1.93,4,2.29,5.65,2.64
atrium,5.95,1.13,3.57,1.96,5.22,2.15
atrocious,3.14,1.31,4.12,2.85,4.35,2.35
atrocity,2.95,1.86,5,2.65,2.96,1.99
atrophy,3.16,1.83,3.86,2.12,4,2.62
attach,5.26,1.24,3.81,1.91,4.7,1.87
attachment,6,1.38,2.96,2.42,6.32,2.29
attack,2,0.97,7.05,2.11,3.39,2.57
attacker,2.23,1.57,7.27,1.93,4.26,2.98
attain,5.85,2.03,3.11,2.19,7.08,2.19
attempt,6,1.55,4.94,2.29,5.67,2.01
attempted,5.35,1.5,3.64,2.32,6.52,2.15
attend,5.4,1.19,3.5,2.3,6.7,1.79
attendance,5.95,1.43,4.24,2.07,5.59,2.13
attendant,5.63,0.96,3.14,1.56,5.09,2.5
attention,6.68,1.49,4.05,2.48,6.47,1.81
attentive,6.43,1.69,4.37,2.22,6.62,1.99
attest,5.1,1.59,3.68,2.51,6.26,1.51
attic,4.95,1.77,3.45,2.35,5.36,2.38
attire,6.16,1.12,3.95,1.83,5.78,2.32
attitude,4.72,2.08,4.76,2.05,5.88,2.21
attorney,3.67,1.74,4.8,2.82,5.53,2.89
attract,6.38,2.11,5.35,2.81,5.6,2.35
attraction,7,1.52,5.4,2.62,4.62,2.02
attractive,7.19,1.91,4.91,2.94,6.81,1.86
attribute,5.67,1.62,4.12,2.28,6,2.26
auburn,5.89,1.2,3.62,1.8,5.61,2.15
auction,5.43,1.75,4.5,2.52,5.33,2.15
auctioneer,5.09,1.31,4,2.39,5.37,2.31
audacious,5.11,1.41,4.28,2.35,5.41,2.24
audacity,5.2,1.36,4.1,2.2,5.33,2.63
audible,6.05,1.6,4.45,2.54,6.26,1.63
audience,5.89,2.03,4.91,2.45,5.14,2.49
audio,6.56,1.34,4.29,2.08,5.96,2.14
audit,2.82,1.3,5.78,2.61,3.68,2.24
audition,5.2,1.4,4.24,2.45,6,2.35
auditor,3.26,1.79,3.7,2.41,5.2,3.02
auditorium,6.05,1.54,4.45,2.02,5.05,1.58
auditory,5.05,1.58,4.5,2.06,6.11,2.13
aunt,6.56,2.09,2.71,2.41,4.28,2.19
auntie,6.24,1.48,3.58,2.7,5.79,1.99
aura,6.45,1.85,4.7,2.72,5.65,1.94
auspicious,4.76,1.73,3.39,2.33,5.5,2.23
authentic,6.91,1.63,4.55,2.5,6.58,2.09
authenticate,5.1,1.81,4.36,2.38,5.78,1.99
authenticity,6.81,1.63,4.42,2.36,6.23,2.58
author,6.33,1.39,2.73,1.91,6.38,1.88
authority,4.76,1.87,5.35,2.33,5.19,2.47
authorization,5.86,1.74,4.32,2.36,4.77,2.91
authorize,5.37,1.01,4.67,2.44,6.54,1.88
autism,3.2,1.91,4.1,2.61,3.12,2.3
autistic,3.62,1.8,4.24,2.57,2.43,1.43
auto,5,1.93,4.95,2.7,5.7,2.52
autobiographical,4.82,1.4,3.74,2.51,5.89,2.28
autobiography,5.79,2.27,2.85,1.6,6.5,2.37
autograph,6.21,1.36,3.55,2.26,6.1,2.02
autographed,6.14,1.75,4.65,2.29,6.42,1.87
automated,4.74,1.56,4.05,2.42,4.5,2.25
automatic,6.05,1.84,3.7,2.45,5.27,2.23
automobile,5.45,1.47,3.91,1.82,6,2.6
automotive,5.37,2.27,4.5,1.54,5.38,2.13
autonomy,5.05,1.66,4.09,2.23,6.19,1.94
autopilot,5.65,1.46,4.11,2.35,3.72,2.39
autopsy,2.62,1.5,4.36,2.87,3.22,2.26
autumn,7.12,1.98,3.21,2.34,5.17,2.53
auxiliary,5.26,1.63,3.61,2.19,5.81,2.29
avail,5.42,1.57,3.77,1.93,6,1.6
availability,5.68,1.73,4.38,2.67,5.5,1.96
available,6.86,1.28,4.04,2.48,6.59,2.3
avalanche,4,2.73,6.55,2.46,3.24,2.3
avenge,4.05,2.06,6.35,2.13,5.92,2.43
avenging,4.89,2.13,6.1,1.97,6.55,1.99
avenue,5.74,1.53,3.3,2.24,5.18,1.68
average,4.89,0.88,3.29,1.79,5.59,2.18
aversion,4,1.26,5.14,2.46,4.81,2.06
avert,5.16,1.92,3.62,1.94,5.22,2.24
aviation,5.9,1.67,4.05,2.59,5.62,1.68
aviator,6.39,1.5,4.67,2.46,6.13,1.66
avid,5.74,2.31,4.32,2.01,5.71,1.92
avocado,6.32,2.14,4.05,2.3,5.22,2.5
avoid,4.1,1.45,3.92,2.06,4.81,2.79
avoidance,3.35,1.39,4.95,2.39,4.88,2.47
await,5.33,1.33,2.91,1.9,4.71,1.88
awake,6.76,1.48,5.5,2.67,6.68,2.43
awaken,6.05,1.83,4.29,2.2,6.09,2.18
awakening,6.41,1.44,4.67,2.5,6.54,2.15
award,7.86,1.15,5.85,2.89,6.9,1.92
aware,6.86,1.49,4.7,2.56,7.05,2.41
awareness,6.45,1.61,3.73,2.55,7.22,1.93
awe,6.85,1.79,3.83,2.85,5.85,1.79
awed,6.05,2.01,4.21,2.26,6,2.39
awesome,7.86,1.85,6.05,3.09,7.11,1.79
awful,2.28,1.96,4.86,2.87,3.06,1.66
awkward,2.95,1.22,4.55,2.35,4.25,2.22
awkwardness,3.86,1.88,4.65,2.61,4.13,2.2
awning,5.79,0.98,2.9,2.07,5.29,1.97
axe,3.48,1.5,5.64,2.61,5.55,2.09
axis,4.19,1.54,3.92,2.02,5.59,2.36
axle,4.67,1.11,2.45,2.2,5.3,1.89
babble,4.55,1.67,4,2.28,4.74,2.55
babe,6.86,1.93,4.25,3.08,6.79,2.64
baboon,5.55,1.61,5.11,2.11,4.96,2.07
baby,6.67,2.36,4.97,2.65,4.94,2.87
babysit,4.74,1.45,3.67,1.98,5.74,2.2
babysitter,6.55,1.85,3.48,1.78,5.68,2.37
Bacardi,5.68,2.52,4.36,2.46,5.79,2.26
bachelor,5.58,1.43,4.14,1.96,5.13,2.7
bachelorette,5.52,2.32,4.09,2.51,4.89,2.47
back,4.76,1.76,2.59,1.79,5.22,2.32
backboard,4.7,1.89,3.41,1.82,5.47,1.98
backbone,5.16,1.71,4.05,2.58,6.4,1.98
backdoor,4.86,1.53,3.85,2.24,5.43,2.06
backdrop,5.45,1.39,2.7,1.84,5.27,1.39
backer,4.73,1.61,3.53,1.71,5.62,2.2
backfire,3,1.98,4.79,2.42,3.5,2.46
backgammon,5.6,1.76,2.06,1.39,4.83,2.01
background,5.05,0.78,3.67,1.77,5.57,2
backhand,3.5,1.77,4.61,2.03,4.9,2.55
backpack,6.05,1.87,3.68,2.38,6.5,1.84
backroom,4.6,1.54,3.5,2.28,5.08,2.21
backseat,4.84,1.77,3.32,2.08,3.9,2.26
backside,4.58,2.19,3.68,2.19,5.22,1.48
backtrack,4.26,1.66,3.15,1.73,5.3,1.92
backup,5.85,1.35,3.45,2.3,5.85,2.27
backwater,4.33,1.93,3.84,2.37,5,2.24
backwoods,5,2.08,2.57,2.01,5.21,2.6
backyard,6.1,2,3.88,2.55,6.79,1.89
bacon,7.52,1.5,4.16,2.84,6.11,2
bacteria,3.3,1.56,4.24,2.53,3.44,2.48
bacterial,3.68,2.12,5,2.65,3.6,2.14
bad,3.24,1.92,4.86,2.69,3.56,2.18
badass,6.14,2.25,6.68,2.19,6,2.37
badge,5.24,2.05,4.4,2.41,5.75,2.53
badger,4.63,2.24,4.35,2.12,4.58,1.39
badness,3.55,2.01,4.38,2.94,4.08,2.48
bag,5.05,1.29,3.43,2.2,5.62,1.78
bagel,6.32,1.16,3.6,1.82,5.17,2.12
baggage,4.5,1.63,4,2.53,5.95,2.3
baggie,5.43,2.09,3.55,2.65,5.33,2.15
baggy,4.45,1.19,4.05,2.26,5.21,2.27
bagman,4.7,1.17,2.7,2.13,3.86,1.61
bail,3.79,2.02,3.91,2.27,4,2.04
bailiff,3.95,1.54,4.33,2.29,4.86,1.8
bait,4,1.83,3.5,2.02,5.95,2.32
bake,7.2,1.61,5,2.87,6.83,2.38
bakery,6.79,2.27,3.86,2.87,5.74,2.18
balance,6.84,1.57,4.13,2.03,5.47,2.06
balcony,6.11,1.1,4,2.14,5.09,2.21
bald,2.85,2.13,3.71,2,4.5,2.63
balding,3.05,1.35,3.38,2.29,3.65,2.18
baldy,3.95,1.94,2.7,1.94,5.22,2.16
bale,4.9,1.33,2.78,1.86,4.91,1.38
ball,6.14,1.39,3.48,2.02,5.47,1.94
ballad,6.33,1.96,3.6,1.85,6.32,2.19
ballast,4.67,0.97,4.06,1.98,4.86,2.15
ballerina,6.79,1.32,3.73,2.21,5.59,2.11
ballet,6.86,1.67,3.72,2.52,5.62,2.04
ballgame,7,1.56,4.65,2.76,5.26,2.3
ballistic,5,1.67,4.09,2.65,4.3,2.25
ballistics,4.05,1.25,5.58,2.36,4.71,2.17
balloon,6.84,1.42,3.9,2.57,5.45,2.28
ballot,5.29,1.23,4.15,2.54,5.45,2.04
ballpark,5.44,2.41,3.85,2.23,5.16,1.77
ballplayer,5.26,2.05,4.09,2.51,6.24,2
ballpoint,5.1,1.18,2.46,2,5.26,2.1
ballroom,5.75,1.33,4.27,2.29,5.67,2.52
ballsy,4.9,1.8,5.29,2.37,5.88,2.43
balm,6.24,1.55,3.36,2.4,5.58,2.04
balmy,5.23,2.27,4.23,2.76,5.47,2.17
bam,5.05,1.61,3.96,2.91,4.9,2.2
bamboo,6.33,1.68,3.2,2.42,5.6,2.11
ban,3.38,2.2,5.2,2.44,5.86,2.35
banana,6.71,2.03,3.21,2.19,6.05,1.51
band,6.44,1.62,4.52,2.93,5.56,1.95
bandage,3.63,2.01,3.64,2.04,4.4,1.98
bandanna,5.26,1.48,3.15,1.87,5.42,2.61
bandit,3.88,1.98,5.18,2.77,4.77,2.2
bandstand,5.81,1.4,3.54,2.77,5.25,2.15
bandwagon,3.95,1.35,3.95,2.09,5.25,2.4
bandwidth,5.32,1.89,3.43,2.42,4.91,2.27
bane,3.9,1.51,3.95,2.8,3.5,2.43
bang,5.1,1.41,6.09,2.48,4.89,2.26
banger,4.05,2.06,3.33,2.32,5.45,2.48
banish,3.85,1.53,4.71,2.61,4.64,2.47
banister,5.42,1.54,2.55,1.79,5.83,2.33
banjo,6.35,1.27,3.53,2.32,5.09,1.6
bank,6,1.94,4.19,2.93,4.78,2.13
banker,4.89,1.78,3.38,2.52,5.32,2.25
banking,5.47,1.71,4.24,2.19,4.74,2.28
bankroll,6.05,1.96,4.95,2.53,5.58,2.08
bankrupt,2.21,1.27,5.49,2.62,3.41,2.73
bankruptcy,2.52,1.78,5.39,2.21,3.31,2.28
banner,5.17,1.24,3.55,2.16,5.17,2.07
banquet,6.11,1.59,4.57,2.35,5,2.24
banshee,3.58,1.5,5.09,2.79,4.15,2.13
banter,5.48,2.06,3.5,2.19,5.27,2.43
banzai,5.65,2.18,4.73,2.25,5.71,1.85
baptism,6.62,2.13,3.96,2.51,5.23,2.34
baptize,5.59,2.53,3.32,2.42,6.57,2.13
bar,5,1.83,4.53,2.46,5.48,2.26
barbarian,3.14,2.17,6.26,2.16,3.67,2.52
barbaric,3.43,1.83,5.6,2.5,4.31,2.59
barbecue,7.1,1.55,5.55,2.76,5.59,1.56
barbed,3.75,1.52,5.1,2.29,4.58,2.23
barber,4.89,2.08,3.18,1.92,5.91,1.97
barbershop,5.37,1.83,3.18,1.82,5.82,2.02
barbie doll,5.23,2,3.96,2.46,5.58,1.87
bard,4.45,1.47,2.94,2.04,5.32,2.23
bare,5.5,1.95,4.65,2.43,5.58,1.86
barefoot,6.91,1.9,4.33,2.61,6.82,2.15
barf,2.32,1.77,5,2.6,3.71,2.53
bargain,7.63,1.42,5.48,2.41,6.11,1.88
bargaining,5.37,1.8,4.14,2.49,6.37,1.98
barge,5.44,1.69,3.15,2.21,4.52,1.53
baritone,6.05,1.43,4,2.05,4.74,1.29
barium,4.9,2.07,2.91,1.72,4.85,2.11
bark,4.86,2.33,3.4,2.3,4.82,2.92
barkeep,5.7,1.69,3.71,2.41,5.54,1.86
barley,4.95,1.5,3.62,2.33,5.79,2.13
barmaid,4.85,1.63,4.6,2.62,4.59,1.71
barman,5.28,1.02,4.95,2.04,4.74,2
barn,6.16,1.3,3.57,2.11,5.65,1.87
barnacle,5.27,1.35,3.52,1.97,3.68,1.39
barnyard,5.65,1.81,2.55,1.79,5.15,2.17
barometer,5,1.53,2.88,1.87,3.82,2.58
baron,3.9,1.51,3.88,1.74,4.95,2.72
baroness,4.75,1.25,4.36,2.15,5.53,2.22
barracuda,4.85,2.3,5.16,2.49,3.47,2.82
barrage,4.24,1.55,3.96,1.99,4.64,2.65
barrel,4.92,1.24,3.43,2.5,4.94,1.39
barren,3.79,2.59,3.59,2.48,3.7,2.13
barricade,4.32,2.11,4.23,2.62,4.77,2.57
barrier,4.47,1.74,4.7,2.05,4.88,2.47
barrister,4.95,1.4,3.18,2.3,4.96,1.79
barroom,4.9,1.81,4.65,1.6,4.71,2.31
bartender,5.63,2.03,4.95,2.74,6.15,1.81
barter,5.64,1.94,4.74,2.08,6.45,1.43
base,5.68,1.25,3.1,2.17,6.37,2.19
baseball,5.79,1.93,3.15,2.54,6.05,1.93
baseball bat,5.75,2.24,3.39,2.17,5.86,2.29
baseline,5.4,1.54,2.52,2.36,5.16,2.23
baseman,5.19,1.08,3.95,2.28,5.05,1.4
basement,4.81,1.99,3.33,2.32,5.26,2
bash,3.68,2.4,5.14,2.66,4.46,1.9
bashful,5.55,1.68,4.36,2.61,4.74,2
basic,5.5,1.88,2.95,1.81,6.05,1.87
basics,5.86,1.24,3.14,2.03,5.55,2.01
basil,6.43,2.01,3.82,2.28,5.36,1.87
basin,5.47,1.39,2.77,1.97,4.75,1.38
basis,5.42,1.84,2.68,1.78,5.18,1.72
bask,6.37,1.89,3.86,2.08,6.17,2.37
basket,5.66,1.06,2.48,1.4,5.3,1.86
basketball,5.67,2.01,4.35,3.07,5.05,2.36
bass,5.23,1.38,4.87,2.69,5.89,1.94
bass guitar,6.27,1.75,4.88,2.67,6.43,2.27
bastard,3.31,1.97,5.1,2.27,2.59,1.33
bat,4.81,2.11,4.57,2.52,4.29,2.33
batch,5.57,1.25,3.29,1.85,5.43,1.83
bath,7,1.75,3.25,2.35,6.64,2.37
bathe,7.5,1.24,3.15,2.23,6.5,1.79
bathhouse,5.32,1.7,4,2.54,5.68,1.86
bathing,6.14,1.9,3.23,2.45,6.93,2.11
bathrobe,6.48,1.4,4.05,2.86,5.47,2.46
bathroom,5.26,0.45,2.86,1.91,5.25,2.53
bathtub,6.26,1.81,3.63,2.56,5.91,2.28
baton,4.63,1.71,3.64,2.13,5.38,1.76
battalion,5.14,1.82,4.76,2.4,4.77,2.22
batter,5.24,2.17,3.85,2.39,6,2.56
battered,2.95,1.5,3.86,2.57,3.22,2.31
battering,2.75,1.41,4.67,2.57,4.36,2.22
battery,4.26,1.76,3.95,2.35,4.35,2.35
battle,3.52,2.23,6.25,2.94,5.63,2.83
battlefield,3.89,2.16,6.48,2.19,4.05,2.33
battleground,4.09,2.04,5.76,2.61,4.09,2.22
battlements,3.7,1.49,4.52,2.47,5.14,2.17
battleship,4.43,1.63,3.41,2.36,5.3,2.38
batty,4.44,2.01,4.05,2.72,4.21,1.52
bauble,5.71,1.93,3.83,2.25,4.67,2.54
bawl,3.58,1.54,4.86,2.55,4.14,1.88
bay,7.23,1.19,3.26,2.21,4.86,1.96
bayonet,4.68,1.83,4.45,2.56,5.17,2.31
bayou,6.2,1.15,3.81,2.29,5.44,2.14
bazaar,6.42,1.35,5.9,1.95,5.48,1.9
bazooka,5.37,1.98,6.1,2.19,4.04,2.42
be,6.18,1.44,3.43,2.31,5.5,2.85
beach,7.21,1.51,5.1,2.23,5.7,2.33
beacon,5.18,1.44,4.52,2.48,5.32,2.47
bead,6.05,1.86,3.4,2.41,3.91,2.16
beady,4.58,1.64,3.73,2.29,4.73,2.1
beak,4.9,1.94,2.81,2.14,4.28,2.05
beaker,5.5,1.15,3.79,2.1,6,1.5
beam,5.74,1.45,3.59,2.48,6.54,2.27
bean,6,2.08,2.95,2.46,5.6,1.9
