Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
amazement,7.29,1.9,6.3,2.51,6.43,1.99
amazing,7.72,1.32,6.05,2.52,6.83,2.09
ambassador,5.5,1.54,3.91,2.16,6.2,2.19
amber,6.15,1.79,3.36,1.84,6.21,1.58
ambience,6.35,1.87,3.85,2.87,5.57,2.27
ambient,6.33,1.8,3.2,2.53,4.86,2.41
ambiguous,5.16,1.64,4,2.61,5.12,2.14
ambition,7.28,1.62,4.86,2.38,6.36,2.04
ambitious,6.33,1.74,5.76,1.81,5.88,2.28
ambrosia,5.95,1.94,4.05,2.31,5.67,2.42
ambulance,3.71,2.11,5.33,2.94,3.29,2.14
ambush,3.17,1.89,5.58,2.81,3.96,2.35
amend,5.85,1.87,3.06,2.1,4.96,2.42
amendment,5.6,1.19,3.5,1.92,4.77,1.54
amends,6.68,1.8,3.95,2.21,5.96,2.18
amiable,6.7,1.42,2.85,1.63,6.14,2.08
amino,4.45,1.88,3.83,1.97,5.73,2.29
ammo,4.18,2.24,5.53,2.34,5.52,2.42
ammonia,3.74,1.69,3,2.02,3.83,2.19
ammonium,4.06,1.63,4.37,2.61,4.84,1.6
ammunition,4.59,2.5,5.7,2.27,5.95,2.61
amnesia,3.43,1.69,5.04,2.48,3.08,2
amnesty,5.38,2.22,3.86,2.33,6,2.32
amorous,5.95,1.88,4.21,3.05,6,2.08
amount,5.42,0.61,3.53,1.98,5.39,2.13
amour,6.43,1.89,5.43,2.57,5.91,2.35
amp,5.79,1.44,5.05,2.36,5.13,2.24
amphibian,5.4,1.88,3.35,2.15,5.42,2.22
amphibious,5.75,1.71,5.7,1.75,4.85,1.91
ample,5.89,2.21,3.28,2.14,6.04,2.18
amputate,2.1,1.45,5.43,2.37,3,2.37
amputation,1.84,1.26,4.86,2.76,2.85,1.98
amuck,4,2.08,4.41,2.26,3.74,2.03
amulet,5.75,1.8,3.95,2.29,5.79,1.91
amuse,7.1,1.37,5.17,1.99,6.8,1.64
amused,7.05,1.28,4.27,2.76,5.93,2.06
amusement,7,1.56,4.82,2.7,6.59,2.17
amusing,7.6,1.31,5.18,2.11,6.79,1.58
anaconda,4.43,2.66,6,2.13,4.08,2.63
anagram,4.37,1.89,3.86,1.96,4.83,1.9
anal,4,2.51,4.29,2.77,4.45,2.56
analogy,5.24,2.07,3.95,2.27,5.33,2.12
analysis,5.25,1.59,3.74,1.94,5.95,2.27
analyst,5,0.79,3.24,2.12,4.76,2.31
analytical,6,1.91,4.13,1.91,6.43,1.77
analyze,5.65,1.39,4.1,2.17,5.96,2.49
analyzer,4.62,1.56,3.48,2.37,5.88,2.23
anaphylactic,4,1.89,5.57,2.77,4.17,2.01
anarchist,2.76,1.87,4.16,1.97,4.57,2.11
anarchy,3.68,2,4.86,2.64,3.1,2.34
anatomy,6.29,1.01,4.43,2.4,5.95,2.06
ancestor,6.37,1.16,3.73,2.41,4.81,2.65
ancestral,6.6,1.6,3.6,2.37,5.05,2.18
ancestry,6.29,1.82,3.71,2.24,4.16,2.76
anchor,5.16,2.17,3.32,2.08,5.29,1.81
anchorage,5.09,1.72,3.82,2.26,5.8,2.38
ancient,7.24,1.18,3.48,1.97,4.86,2.17
android,5.62,2.33,3.5,2.41,5.75,2.45
anecdote,5.62,1.36,4.65,2.55,6,1.41
